Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
January is when the baby's getting born .,"January	_	_	_	_	_	3	nsubj	_	_
is	_	_	_	_	_	3	cop	_	_
when	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	5	det	_	_
baby's	_	_	_	_	_	7	nsubj:pass	_	_
getting	_	_	_	_	_	7	aux:pass	_	_
born	_	_	_	_	_	3	acl	_	_
.	_	_	_	_	_	3	punct	_	_","January	_	_	_	_	_	3	nsubj	_	_
is	_	_	_	_	_	3	cop	_	_
when	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	5	det	_	_
baby's	_	_	_	_	_	7	nsubj:pass	_	_
getting	_	_	_	_	_	7	aux:pass	_	_
born	_	_	_	_	_	3	advcl:relcl	_	_
.	_	_	_	_	_	3	punct	_	_","January	_	PROPN	NNP	_	_	3	nsubj	_	_
is	_	AUX	VBZ	_	_	8	cop	_	_
when	_	ADV	WRB	_	_	8	advmod	_	_
the	_	DET	DT	_	_	5	det	_	_
baby	_	NOUN	NN	_	_	8	nsubj:pass	_	_
's	_	AUX	VBZ	_	_	8	aux	_	_
getting	_	AUX	VBG	_	_	8	aux:pass	_	_
born	_	VERB	VBN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
oh yeah Mom I didn't know farmers would let robins sit in barns .,"oh	_	_	_	_	_	6	discourse	_	_
yeah	_	_	_	_	_	6	discourse	_	_
Mom	_	_	_	_	_	6	vocative	_	_
I	_	_	_	_	_	6	nsubj	_	_
didn't	_	_	_	_	_	6	aux	_	_
know	_	_	_	_	_	0	root	_	_
farmers	_	_	_	_	_	9	nsubj	_	_
would	_	_	_	_	_	9	aux	_	_
let	_	_	_	_	_	6	ccomp	_	_
robins	_	_	_	_	_	9	obj	_	_
sit	_	_	_	_	_	9	xcomp	_	_
in	_	_	_	_	_	13	case	_	_
barns	_	_	_	_	_	11	obl	_	_
.	_	_	_	_	_	6	punct	_	_","oh	_	_	_	_	_	6	discourse	_	_
yeah	_	_	_	_	_	6	discourse	_	_
Mom	_	_	_	_	_	6	vocative	_	_
I	_	_	_	_	_	6	nsubj	_	_
didn't	_	_	_	_	_	6	aux	_	_
know	_	_	_	_	_	0	root	_	_
farmers	_	_	_	_	_	9	nsubj	_	_
would	_	_	_	_	_	9	aux	_	_
let	_	_	_	_	_	6	ccomp	_	_
robins	_	_	_	_	_	9	obj	_	_
sit	_	_	_	_	_	9	xcomp	_	_
in	_	_	_	_	_	13	case	_	_
barns	_	_	_	_	_	11	obl	_	_
.	_	_	_	_	_	6	punct	_	_","oh	_	INTJ	UH	_	_	7	discourse	_	_
yeah	_	INTJ	UH	_	_	7	discourse	_	_
Mom	_	NOUN	NN	_	_	7	vocative	_	_
I	_	PRON	PRP	_	_	7	nsubj	_	_
did	_	AUX	VBD	_	_	7	aux	_	_
n't	_	PART	RB	_	_	7	advmod	_	_
know	_	VERB	VB	_	_	0	root	_	_
farmers	_	NOUN	NNS	_	_	10	nsubj	_	_
would	_	AUX	MD	_	_	10	aux	_	_
let	_	VERB	VB	_	_	7	ccomp	_	_
robins	_	NOUN	NNS	_	_	10	obj	_	_
sit	_	VERB	VB	_	_	10	xcomp	_	_
in	_	ADP	IN	_	_	14	case	_	_
barns	_	NOUN	NNS	_	_	12	obl	_	_
.	_	PUNCT	.	_	_	7	punct	_	_"
"of course like Joe he useta run a farm , a neat farm too .","of	_	_	_	_	_	4	advmod	_	_
course	_	_	_	_	_	1	fixed	_	_
like	_	_	_	_	_	4	case	_	_
Joe	_	_	_	_	_	7	obl	_	_
he	_	_	_	_	_	6	nsubj	_	_
useta	_	_	_	_	_	0	root	_	_
run	_	_	_	_	_	6	xcomp	_	_
a	_	_	_	_	_	9	det	_	_
farm	_	_	_	_	_	7	obj	_	_
,	_	_	_	_	_	13	case	_	_
a	_	_	_	_	_	13	det	_	_
neat	_	_	_	_	_	13	amod	_	_
farm	_	_	_	_	_	7	parataxis	_	_
too	_	_	_	_	_	13	advmod	_	_
.	_	_	_	_	_	6	punct	_	_","of	_	_	_	_	_	7	advmod	_	_
course	_	_	_	_	_	1	fixed	_	_
like	_	_	_	_	_	4	case	_	_
Joe	_	_	_	_	_	7	obl	_	_
he	_	_	_	_	_	7	nsubj	_	_
useta	_	_	_	_	_	7	mark	_	_
run	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	9	det	_	_
farm	_	_	_	_	_	7	obj	_	_
,	_	_	_	_	_	13	punct	_	_
a	_	_	_	_	_	13	det	_	_
neat	_	_	_	_	_	13	amod	_	_
farm	_	_	_	_	_	9	appos	_	_
too	_	_	_	_	_	13	advmod	_	_
.	_	_	_	_	_	7	punct	_	_","of	_	ADP	IN	_	_	7	advmod	_	_
course	_	NOUN	NN	_	_	1	fixed	_	_
like	_	ADP	IN	_	_	4	case	_	_
Joe	_	PROPN	NNP	_	_	7	obl	_	_
he	_	PRON	PRP	_	_	6	dep	_	_
useta	_	NOUN	NN	_	_	7	nsubj	_	_
run	_	VERB	VB	_	_	0	root	_	_
a	_	DET	DT	_	_	9	det	_	_
farm	_	NOUN	NN	_	_	7	obj	_	_
,	_	PUNCT	,	_	_	13	punct	_	_
a	_	DET	DT	_	_	13	det	_	_
neat	_	ADJ	JJ	_	_	13	amod	_	_
farm	_	NOUN	NN	_	_	9	appos	_	_
too	_	ADV	RB	_	_	7	advmod	_	_
.	_	PUNCT	.	_	_	7	punct	_	_"
I wanna see .,"I	_	_	_	_	_	2	nsubj	_	_
wanna	_	_	_	_	_	0	root	_	_
see	_	_	_	_	_	2	xcomp	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	_	_	_	_	2	nsubj	_	_
wanna	_	_	_	_	_	0	root	_	_
see	_	_	_	_	_	2	xcomp	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	2	nsubj	_	_
wan	_	VERB	VBP	_	_	0	root	_	_
na	_	PART	TO	_	_	4	mark	_	_
see	_	VERB	VB	_	_	2	xcomp	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
I can't see a yellow circle .,"I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
see	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	6	det	_	_
yellow	_	_	_	_	_	6	amod	_	_
circle	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	advmod	_	_
see	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	6	det	_	_
yellow	_	_	_	_	_	6	amod	_	_
circle	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
ca	_	AUX	MD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
see	_	VERB	VB	_	_	0	root	_	_
a	_	DET	DT	_	_	7	det	_	_
yellow	_	ADJ	JJ	_	_	7	amod	_	_
circle	_	NOUN	NN	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
I'd punch you .,"I'd	_	_	_	_	_	2	nsubj	_	_
punch	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","I'd	_	_	_	_	_	2	nsubj	_	_
punch	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
'd	_	AUX	MD	_	_	3	aux	_	_
punch	_	VERB	VB	_	_	0	root	_	_
you	_	PRON	PRP	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
hey Mommy hey Daddy what did they say about Karen ?,"hey	_	_	_	_	_	8	discourse	_	_
Mommy	_	_	_	_	_	8	vocative	_	_
hey	_	_	_	_	_	1	conj	_	_
Daddy	_	_	_	_	_	1	vocative	_	_
what	_	_	_	_	_	8	obj	_	_
did	_	_	_	_	_	8	aux	_	_
they	_	_	_	_	_	8	nsubj	_	_
say	_	_	_	_	_	0	root	_	_
about	_	_	_	_	_	10	case	_	_
Karen	_	_	_	_	_	8	obl	_	_
?	_	_	_	_	_	8	punct	_	_","hey	_	_	_	_	_	2	discourse	_	_
Mommy	_	_	_	_	_	0	root	_	_
hey	_	_	_	_	_	4	discourse	_	_
Daddy	_	_	_	_	_	2	vocative	_	_
what	_	_	_	_	_	8	obj	_	_
did	_	_	_	_	_	8	aux	_	_
they	_	_	_	_	_	8	nsubj	_	_
say	_	_	_	_	_	2	parataxis	_	_
about	_	_	_	_	_	10	case	_	_
Karen	_	_	_	_	_	8	obl	_	_
?	_	_	_	_	_	2	punct	_	_","hey	_	INTJ	UH	_	_	8	discourse	_	_
Mommy	_	PROPN	NNP	_	_	8	vocative	_	_
hey	_	INTJ	UH	_	_	8	discourse	_	_
Daddy	_	PROPN	NNP	_	_	2	flat	_	_
what	_	PRON	WP	_	_	8	obj	_	_
did	_	AUX	VBD	_	_	8	aux	_	_
they	_	PRON	PRP	_	_	8	nsubj	_	_
say	_	VERB	VB	_	_	0	root	_	_
about	_	ADP	IN	_	_	10	case	_	_
Karen	_	PROPN	NNP	_	_	8	obl	_	_
?	_	PUNCT	.	_	_	8	punct	_	_"
it costs too much .,"it	_	_	_	_	_	2	nsubj	_	_
costs	_	_	_	_	_	0	root	_	_
too	_	_	_	_	_	4	advmod	_	_
much	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","it	_	_	_	_	_	2	nsubj	_	_
costs	_	_	_	_	_	0	root	_	_
too	_	_	_	_	_	4	advmod	_	_
much	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","it	_	PRON	PRP	_	_	2	nsubj	_	_
costs	_	VERB	VBZ	_	_	0	root	_	_
too	_	ADV	RB	_	_	4	advmod	_	_
much	_	ADJ	JJ	_	_	2	advmod	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
there's thread in my cereal .,"there's	_	_	_	_	_	0	root	_	_
thread	_	_	_	_	_	1	nsubj	_	_
in	_	_	_	_	_	5	case	_	_
my	_	_	_	_	_	5	nmod:poss	_	_
cereal	_	_	_	_	_	2	nmod	_	_
.	_	_	_	_	_	1	punct	_	_","there's	_	_	_	_	_	0	root	_	_
thread	_	_	_	_	_	1	nsubj	_	_
in	_	_	_	_	_	5	case	_	_
my	_	_	_	_	_	5	nmod:poss	_	_
cereal	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","there	_	PRON	EX	_	_	2	expl	_	_
's	_	VERB	VBZ	_	_	0	root	_	_
thread	_	NOUN	NN	_	_	2	nsubj	_	_
in	_	ADP	IN	_	_	6	case	_	_
my	_	PRON	PRP$	_	_	6	nmod:poss	_	_
cereal	_	NOUN	NN	_	_	2	obl	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
I'll show you a piece of thread .,"I'll	_	_	_	_	_	2	nsubj	_	_
show	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	2	iobj	_	_
a	_	_	_	_	_	5	det	_	_
piece	_	_	_	_	_	2	obj	_	_
of	_	_	_	_	_	7	case	_	_
thread	_	_	_	_	_	5	nmod	_	_
.	_	_	_	_	_	2	punct	_	_","I'll	_	_	_	_	_	2	nsubj	_	_
show	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	2	iobj	_	_
a	_	_	_	_	_	5	det	_	_
piece	_	_	_	_	_	2	obj	_	_
of	_	_	_	_	_	7	case	_	_
thread	_	_	_	_	_	5	nmod	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
'll	_	AUX	MD	_	_	3	aux	_	_
show	_	VERB	VB	_	_	0	root	_	_
you	_	PRON	PRP	_	_	3	iobj	_	_
a	_	DET	DT	_	_	6	det	_	_
piece	_	NOUN	NN	_	_	3	obj	_	_
of	_	ADP	IN	_	_	8	case	_	_
thread	_	NOUN	NN	_	_	6	nmod	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
hey Mommy .,"hey	_	_	_	_	_	0	root	_	_
Mommy	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","hey	_	_	_	_	_	2	discourse	_	_
Mommy	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	1	punct	_	_","hey	_	INTJ	UH	_	_	2	discourse	_	_
Mommy	_	PROPN	NNP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
we can put this up after we're done eating .,"we	_	_	_	_	_	3	nsubj	_	_
can	_	_	_	_	_	3	aux	_	_
put	_	_	_	_	_	0	root	_	_
this	_	_	_	_	_	3	obj	_	_
up	_	_	_	_	_	3	compound:prt	_	_
after	_	_	_	_	_	8	mark	_	_
we're	_	_	_	_	_	8	nsubj	_	_
done	_	_	_	_	_	3	advcl	_	_
eating	_	_	_	_	_	8	advcl	_	_
.	_	_	_	_	_	3	punct	_	_","we	_	_	_	_	_	3	nsubj	_	_
can	_	_	_	_	_	3	aux	_	_
put	_	_	_	_	_	0	root	_	_
this	_	_	_	_	_	3	obj	_	_
up	_	_	_	_	_	3	compound:prt	_	_
after	_	_	_	_	_	8	mark	_	_
we're	_	_	_	_	_	8	nsubj	_	_
done	_	_	_	_	_	3	advcl	_	_
eating	_	_	_	_	_	8	advcl	_	_
.	_	_	_	_	_	3	punct	_	_","we	_	PRON	PRP	_	_	3	nsubj	_	_
can	_	AUX	MD	_	_	3	aux	_	_
put	_	VERB	VB	_	_	0	root	_	_
this	_	PRON	DT	_	_	3	obj	_	_
up	_	ADP	RP	_	_	3	compound:prt	_	_
after	_	SCONJ	IN	_	_	9	mark	_	_
we	_	PRON	PRP	_	_	9	nsubj:pass	_	_
're	_	AUX	VBP	_	_	9	aux:pass	_	_
done	_	VERB	VBN	_	_	3	advcl	_	_
eating	_	VERB	VBG	_	_	9	xcomp	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
probably one of those zebra robes and a cowboy jacket .,"probably	_	_	_	_	_	2	advmod	_	_
one	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	6	case	_	_
those	_	_	_	_	_	6	det	_	_
zebra	_	_	_	_	_	6	compound	_	_
robes	_	_	_	_	_	2	nmod	_	_
and	_	_	_	_	_	10	cc	_	_
a	_	_	_	_	_	10	det	_	_
cowboy	_	_	_	_	_	10	compound	_	_
jacket	_	_	_	_	_	2	conj	_	_
.	_	_	_	_	_	2	punct	_	_","probably	_	_	_	_	_	2	advmod	_	_
one	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	6	case	_	_
those	_	_	_	_	_	6	det	_	_
zebra	_	_	_	_	_	6	compound	_	_
robes	_	_	_	_	_	2	nmod	_	_
and	_	_	_	_	_	10	cc	_	_
a	_	_	_	_	_	10	det	_	_
cowboy	_	_	_	_	_	10	compound	_	_
jacket	_	_	_	_	_	2	conj	_	_
.	_	_	_	_	_	2	punct	_	_","probably	_	ADV	RB	_	_	2	advmod	_	_
one	_	NUM	CD	_	_	0	root	_	_
of	_	ADP	IN	_	_	6	case	_	_
those	_	DET	DT	_	_	6	det	_	_
zebra	_	NOUN	NN	_	_	6	compound	_	_
robes	_	NOUN	NNS	_	_	2	nmod	_	_
and	_	CCONJ	CC	_	_	10	cc	_	_
a	_	DET	DT	_	_	10	det	_	_
cowboy	_	NOUN	NN	_	_	10	compound	_	_
jacket	_	NOUN	NN	_	_	6	conj	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
except with a different kind of material .,"except	_	_	_	_	_	5	mark	_	_
with	_	_	_	_	_	5	case	_	_
a	_	_	_	_	_	5	det	_	_
different	_	_	_	_	_	5	amod	_	_
kind	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	7	case	_	_
material	_	_	_	_	_	5	nmod	_	_
.	_	_	_	_	_	5	punct	_	_","except	_	_	_	_	_	5	mark	_	_
with	_	_	_	_	_	5	case	_	_
a	_	_	_	_	_	5	det	_	_
different	_	_	_	_	_	5	amod	_	_
kind	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	7	case	_	_
material	_	_	_	_	_	5	nmod	_	_
.	_	_	_	_	_	5	punct	_	_","except	_	ADP	IN	_	_	5	case	_	_
with	_	ADP	IN	_	_	5	case	_	_
a	_	DET	DT	_	_	5	det	_	_
different	_	ADJ	JJ	_	_	5	amod	_	_
kind	_	NOUN	NN	_	_	0	root	_	_
of	_	ADP	IN	_	_	7	case	_	_
material	_	NOUN	NN	_	_	5	nmod	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
I can't talk with my mouth full .,"I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
talk	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	6	case	_	_
my	_	_	_	_	_	6	nmod:poss	_	_
mouth	_	_	_	_	_	3	obl	_	_
full	_	_	_	_	_	6	acl	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
talk	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	7	mark	_	_
my	_	_	_	_	_	6	nmod:poss	_	_
mouth	_	_	_	_	_	7	nsubj	_	_
full	_	_	_	_	_	3	advcl	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
ca	_	AUX	MD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
talk	_	VERB	VB	_	_	0	root	_	_
with	_	ADP	IN	_	_	7	case	_	_
my	_	PRON	PRP$	_	_	7	nmod:poss	_	_
mouth	_	NOUN	NN	_	_	4	obl	_	_
full	_	ADJ	JJ	_	_	4	xcomp	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
I can't talk now .,"I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
talk	_	_	_	_	_	0	root	_	_
now	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	advmod	_	_
talk	_	_	_	_	_	0	root	_	_
now	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
ca	_	AUX	MD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
talk	_	VERB	VB	_	_	0	root	_	_
now	_	ADV	RB	_	_	4	advmod	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
I can't laugh with my mouth full .,"I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
laugh	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	6	case	_	_
my	_	_	_	_	_	6	nmod:poss	_	_
mouth	_	_	_	_	_	3	obl	_	_
full	_	_	_	_	_	6	acl	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
laugh	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	7	mark	_	_
my	_	_	_	_	_	6	nmod:poss	_	_
mouth	_	_	_	_	_	7	nsubj	_	_
full	_	_	_	_	_	3	advcl	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
ca	_	AUX	MD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
laugh	_	VERB	VB	_	_	0	root	_	_
with	_	ADP	IN	_	_	7	case	_	_
my	_	PRON	PRP$	_	_	7	nmod:poss	_	_
mouth	_	NOUN	NN	_	_	4	obl	_	_
full	_	ADJ	JJ	_	_	4	xcomp	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
I can't drink with my mouth full .,"I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
drink	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	6	case	_	_
my	_	_	_	_	_	6	nmod:poss	_	_
mouth	_	_	_	_	_	3	obl	_	_
full	_	_	_	_	_	6	acl	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	advmod	_	_
drink	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	7	mark	_	_
my	_	_	_	_	_	6	nmod:poss	_	_
mouth	_	_	_	_	_	7	nsubj	_	_
full	_	_	_	_	_	3	advcl	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
ca	_	AUX	MD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
drink	_	VERB	VB	_	_	0	root	_	_
with	_	ADP	IN	_	_	7	case	_	_
my	_	PRON	PRP$	_	_	7	nmod:poss	_	_
mouth	_	NOUN	NN	_	_	4	obl	_	_
full	_	ADJ	JJ	_	_	4	xcomp	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
and I can't eat with my mouth full .,"and	_	_	_	_	_	4	cc	_	_
I	_	_	_	_	_	4	nsubj	_	_
can't	_	_	_	_	_	4	aux	_	_
eat	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	7	case	_	_
my	_	_	_	_	_	7	nmod:poss	_	_
mouth	_	_	_	_	_	4	obl	_	_
full	_	_	_	_	_	7	acl	_	_
.	_	_	_	_	_	4	punct	_	_","and	_	_	_	_	_	4	cc	_	_
I	_	_	_	_	_	4	nsubj	_	_
can't	_	_	_	_	_	4	aux	_	_
eat	_	_	_	_	_	0	root	_	_
with	_	_	_	_	_	8	mark	_	_
my	_	_	_	_	_	7	nmod:poss	_	_
mouth	_	_	_	_	_	8	nsubj	_	_
full	_	_	_	_	_	4	advcl	_	_
.	_	_	_	_	_	4	punct	_	_","and	_	CCONJ	CC	_	_	5	cc	_	_
I	_	PRON	PRP	_	_	5	nsubj	_	_
ca	_	AUX	MD	_	_	5	aux	_	_
n't	_	PART	RB	_	_	5	advmod	_	_
eat	_	VERB	VB	_	_	0	root	_	_
with	_	ADP	IN	_	_	8	case	_	_
my	_	PRON	PRP$	_	_	8	nmod:poss	_	_
mouth	_	NOUN	NN	_	_	5	obl	_	_
full	_	ADJ	JJ	_	_	5	xcomp	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
Mom how do you think Santa could sneak into our house ?,"Mom	_	_	_	_	_	5	vocative	_	_
how	_	_	_	_	_	5	advmod	_	_
do	_	_	_	_	_	5	aux	_	_
you	_	_	_	_	_	5	nsubj	_	_
think	_	_	_	_	_	0	root	_	_
Santa	_	_	_	_	_	8	nsubj	_	_
could	_	_	_	_	_	8	aux	_	_
sneak	_	_	_	_	_	5	ccomp	_	_
into	_	_	_	_	_	11	case	_	_
our	_	_	_	_	_	11	nmod:poss	_	_
house	_	_	_	_	_	8	obl	_	_
?	_	_	_	_	_	5	punct	_	_","Mom	_	_	_	_	_	5	vocative	_	_
how	_	_	_	_	_	8	advmod	_	_
do	_	_	_	_	_	5	aux	_	_
you	_	_	_	_	_	5	nsubj	_	_
think	_	_	_	_	_	0	root	_	_
Santa	_	_	_	_	_	8	nsubj	_	_
could	_	_	_	_	_	8	aux	_	_
sneak	_	_	_	_	_	5	ccomp	_	_
into	_	_	_	_	_	11	case	_	_
our	_	_	_	_	_	11	nmod:poss	_	_
house	_	_	_	_	_	8	obl	_	_
?	_	_	_	_	_	5	punct	_	_","Mom	_	NOUN	NN	_	_	5	vocative	_	_
how	_	ADV	WRB	_	_	5	advmod	_	_
do	_	AUX	VBP	_	_	5	aux	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
think	_	VERB	VB	_	_	0	root	_	_
Santa	_	PROPN	NNP	_	_	8	nsubj	_	_
could	_	AUX	MD	_	_	8	aux	_	_
sneak	_	VERB	VB	_	_	5	ccomp	_	_
into	_	ADP	IN	_	_	11	case	_	_
our	_	PRON	PRP$	_	_	11	nmod:poss	_	_
house	_	NOUN	NN	_	_	8	obl	_	_
?	_	PUNCT	.	_	_	5	punct	_	_"
no he doesn't .,"no	_	_	_	_	_	3	discourse	_	_
he	_	_	_	_	_	3	nsubj	_	_
doesn't	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","no	_	_	_	_	_	3	discourse	_	_
he	_	_	_	_	_	3	nsubj	_	_
doesn't	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","no	_	INTJ	UH	_	_	3	discourse	_	_
he	_	PRON	PRP	_	_	3	nsubj	_	_
does	_	AUX	VBZ	_	_	0	root	_	_
n't	_	PART	RB	_	_	3	advmod	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
real quiet shoes .,"real	_	_	_	_	_	3	advmod	_	_
quiet	_	_	_	_	_	3	amod	_	_
shoes	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","real	_	_	_	_	_	2	advmod	_	_
quiet	_	_	_	_	_	3	amod	_	_
shoes	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","real	_	ADJ	JJ	_	_	3	amod	_	_
quiet	_	ADJ	JJ	_	_	3	amod	_	_
shoes	_	NOUN	NNS	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
if you look down he'll be up .,"if	_	_	_	_	_	3	mark	_	_
you	_	_	_	_	_	3	nsubj	_	_
look	_	_	_	_	_	7	advcl	_	_
down	_	_	_	_	_	3	advmod	_	_
he'll	_	_	_	_	_	7	aux	_	_
be	_	_	_	_	_	7	cop	_	_
up	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	7	punct	_	_","if	_	_	_	_	_	3	mark	_	_
you	_	_	_	_	_	3	nsubj	_	_
look	_	_	_	_	_	7	advcl	_	_
down	_	_	_	_	_	3	advmod	_	_
he'll	_	_	_	_	_	7	nsubj	_	_
be	_	_	_	_	_	7	cop	_	_
up	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	7	punct	_	_","if	_	SCONJ	IN	_	_	3	mark	_	_
you	_	PRON	PRP	_	_	3	nsubj	_	_
look	_	VERB	VBP	_	_	8	advcl	_	_
down	_	ADP	RP	_	_	3	compound:prt	_	_
he	_	PRON	PRP	_	_	8	nsubj	_	_
'll	_	AUX	MD	_	_	8	aux	_	_
be	_	AUX	VB	_	_	8	cop	_	_
up	_	ADP	RP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	8	punct	_	_"
so you better not stay up .,"so	_	_	_	_	_	5	advmod	_	_
you	_	_	_	_	_	5	nsubj	_	_
better	_	_	_	_	_	5	advmod	_	_
not	_	_	_	_	_	5	advmod	_	_
stay	_	_	_	_	_	0	root	_	_
up	_	_	_	_	_	5	advmod	_	_
.	_	_	_	_	_	5	punct	_	_","so	_	_	_	_	_	5	advmod	_	_
you	_	_	_	_	_	5	nsubj	_	_
better	_	_	_	_	_	5	advmod	_	_
not	_	_	_	_	_	5	advmod	_	_
stay	_	_	_	_	_	0	root	_	_
up	_	_	_	_	_	5	compound:prt	_	_
.	_	_	_	_	_	5	punct	_	_","so	_	ADV	RB	_	_	5	advmod	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
better	_	ADV	RBR	_	_	5	advmod	_	_
not	_	PART	RB	_	_	5	advmod	_	_
stay	_	VERB	VB	_	_	0	root	_	_
up	_	ADP	RP	_	_	5	compound:prt	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
